# Docs audit URL list: project,url optional third field "keep" (pins row when not in any flow source / docs.json)
# Sync: npm run sync:docs-urls | Legacy bare URLs are read as project CMS (override with DOCS_URL_LEGACY_PROJECT).
project,url
Analytics,https://www.contentstack.com/docs/analytics/about-analytics
Analytics,https://www.contentstack.com/docs/analytics/analytics-for-automate
Analytics,https://www.contentstack.com/docs/analytics/analytics-for-brand-kit
Analytics,https://www.contentstack.com/docs/analytics/analytics-for-cms
Analytics,https://www.contentstack.com/docs/analytics/analytics-for-launch
Analytics,https://www.contentstack.com/docs/analytics/analytics-for-personalize
Analytics,https://www.contentstack.com/docs/analytics/limitations-for-analytics
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/about-brand-kit
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/about-knowledge-vault
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/about-voice-profile
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/add-item-in-knowledge-vault
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/create-a-brand-kit
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/create-a-voice-profile
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/delete-a-brand-kit
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/delete-a-voice-profile
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/delete-item-in-knowledge-vault
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/edit-a-brand-kit
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/edit-a-voice-profile
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/edit-item-in-knowledge-vault
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/export-a-voice-profile
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/export-item-from-knowledge-vault
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/get-started-with-brand-kit
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/import-a-voice-profile
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/import-item-in-knowledge-vault
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/invite-collaborators
BrandKit,https://www.contentstack.com/docs/content-managers/brand-kit/limitations
CMS,https://www.contentstack.com/docs/content-managers/author-content/about-asset-versioning
CMS,https://www.contentstack.com/docs/content-managers/author-content/about-assets
CMS,https://www.contentstack.com/docs/content-managers/author-content/about-discussions
CMS,https://www.contentstack.com/docs/content-managers/author-content/about-entries
CMS,https://www.contentstack.com/docs/content-managers/author-content/about-entry-comments
CMS,https://www.contentstack.com/docs/content-managers/author-content/about-live-preview
CMS,https://www.contentstack.com/docs/content-managers/author-content/add-a-comment
CMS,https://www.contentstack.com/docs/content-managers/author-content/adding-terms-to-entries-with-taxonomy
CMS,https://www.contentstack.com/docs/content-managers/author-content/additional-metadata-support-for-assets
CMS,https://www.contentstack.com/docs/content-managers/author-content/asset-limitations
CMS,https://www.contentstack.com/docs/content-managers/author-content/back-up-existing-content
CMS,https://www.contentstack.com/docs/content-managers/author-content/benefits-of-live-preview
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-delete-assets
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-delete-entries
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-delete-localized-entry-versions
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-export-entries
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-publish-assets
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-publish-entries
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-publish-localized-entry-versions
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-unpublish-assets
